Geography,RegionName,PhysicalLocation,SourceUrl
Africa,South Africa North,Johannesburg,https://www.azurespeed.com/Information/AzureRegions
Africa,South Africa West,Cape Town,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Australia Central,Canberra,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Australia Central 2,Canberra,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Australia East,New South Wales,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Australia Southeast,Victoria,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Central India,Pune,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,East Asia,Hong Kong,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Japan East,Tokyo. Saitama,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Japan West,Osaka,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Jio India Central,Nagpur,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Jio India West,Jamnagar,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Korea Central,Seoul,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Korea South,Busan,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,Southeast Asia,Singapore,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,South India,Chennai,https://www.azurespeed.com/Information/AzureRegions
Asia Pacific,West India,Mumbai,https://www.azurespeed.com/Information/AzureRegions
Canada,Canada Central,Toronto,https://www.azurespeed.com/Information/AzureRegions
Canada,Canada East,Quebec,https://www.azurespeed.com/Information/AzureRegions
Europe,France Central,Paris,https://www.azurespeed.com/Information/AzureRegions
Europe,France South,Marseille,https://www.azurespeed.com/Information/AzureRegions
Europe,Germany North,Berlin,https://www.azurespeed.com/Information/AzureRegions
Europe,Germany West Central,Frankfurt,https://www.azurespeed.com/Information/AzureRegions
Europe,North Europe,Ireland,https://www.azurespeed.com/Information/AzureRegions
Europe,Norway East,Norway,https://www.azurespeed.com/Information/AzureRegions
Europe,Norway West,Norway,https://www.azurespeed.com/Information/AzureRegions
Europe,Poland Central,Warsaw,https://www.azurespeed.com/Information/AzureRegions
Europe,Sweden Central,GÃ¤vle,https://www.azurespeed.com/Information/AzureRegions
Europe,Switzerland North,Zurich,https://www.azurespeed.com/Information/AzureRegions
Europe,Switzerland West,Geneva,https://www.azurespeed.com/Information/AzureRegions
Europe,UK South,London,https://www.azurespeed.com/Information/AzureRegions
Europe,UK West,Cardiff,https://www.azurespeed.com/Information/AzureRegions
Europe,West Europe,Netherlands,https://www.azurespeed.com/Information/AzureRegions
Middle East,Qatar Central,Doha,https://www.azurespeed.com/Information/AzureRegions
Middle East,UAE Central,Abu Dhabi,https://www.azurespeed.com/Information/AzureRegions
Middle East,UAE North,Dubai,https://www.azurespeed.com/Information/AzureRegions
South America,Brazil South,Sao Paulo State,https://www.azurespeed.com/Information/AzureRegions
South America,Brazil Southeast,Rio,https://www.azurespeed.com/Information/AzureRegions
US,Central US,Iowa,https://www.azurespeed.com/Information/AzureRegions
US,East US,Virginia,https://www.azurespeed.com/Information/AzureRegions
US,East US 2,Virginia,https://www.azurespeed.com/Information/AzureRegions
US,North Central US,Illinois,https://www.azurespeed.com/Information/AzureRegions
US,South Central US,Texas,https://www.azurespeed.com/Information/AzureRegions
US,West Central US,Wyoming,https://www.azurespeed.com/Information/AzureRegions
US,West US,California,https://www.azurespeed.com/Information/AzureRegions
US,West US 2,Washington,https://www.azurespeed.com/Information/AzureRegions
US,West US 3,Phoenix,https://www.azurespeed.com/Information/AzureRegions
